Year,FAFSA_CA_Dream_Act_Submitted,FAFSA_CA_Dream_Act_Completed,Cal_Grant_Submitted,Cal_Grant_Completed,Cal_Grant_Awarded,Enrollment,County,School_District,High_School,City
2023,281,240,255,216,117,364,Alameda,Oakland Unified,Skyline High,Oakland
2022,212,207,210,206,31,364,Contra Costa,Mt. Diablo Unified,Northgate High,Walnut Creek
2023,342,283,318,268,180,364,Los Angeles,Los Angeles Unified,Huntington Park Senior High,Huntington Park
2022,276,242,274,240,173,364,Los Angeles,Los Angeles Unified,Theodore Roosevelt Senior High,Los Angeles
2023,248,238,235,227,46,364,Sonoma,Santa Rosa High,Maria Carrillo High,Santa Rosa
2023,370,361,352,346,254,363,Los Angeles,Los Angeles Unified,Francisco Bravo Medical Magnet High,Los Angeles
2023,209,202,190,187,34,362,Los Angeles,Palos Verdes Peninsula Unified,Palos Verdes High,Palos Verdes Est.
2022,228,216,215,206,151,362,San Bernardino,San Bernardino City Unified,Indian Springs High,San Bernardino
2022,207,193,204,193,53,362,Santa Clara,Campbell Union High,Prospect High,Saratoga
2023,197,178,183,171,64,362,Santa Clara,Gilroy Unified,Christopher High,Gilroy
2023,224,204,200,185,106,362,Tehama,Red Bluff Joint Union High,Red Bluff High,Red Bluff
2023,215,200,206,195,80,361,Alameda,Fremont Unified,John F. Kennedy High,Fremont
2022,224,210,214,202,123,361,Kern,Wasco Union High,Wasco High,Wasco
2022,322,300,308,291,206,361,Los Angeles,Los Angeles Unified,King/Drew Medical Magnet High,Los Angeles
2022,255,250,249,247,70,361,Los Angeles,South Pasadena Unified,South Pasadena Senior High,South Pasadena
2023,296,256,277,240,160,361,Riverside,Hemet Unified,Tahquitz High,Hemet
2023,347,341,336,332,251,361,Riverside,Val Verde Unified,Citrus Hill High,Perris
2023,276,252,250,234,127,360,Los Angeles,Monrovia Unified,Monrovia High,Monrovia
2022,228,218,215,209,108,360,Los Angeles,Pomona Unified,Diamond Ranch High,Pomona
2022,219,217,210,208,37,360,Ventura,Oak Park Unified,Oak Park High,Oak Park
2022,137,122,131,119,69,359,Los Angeles,Antelope Valley Union High,Littlerock High,Littlerock
2022,161,154,157,152,42,359,Solano,Benicia Unified,Benicia High,Benicia
2022,186,163,179,158,104,358,Alameda,Hayward Unified,Hayward High,Hayward
2023,250,234,231,221,127,358,Monterey,Soledad Unified,Soledad High,Soledad
2023,204,191,173,166,94,358,San Bernardino,Colton Joint Unified,Grand Terrace High School at the Ray Abril Jr. Educational Complex,Grand Terrace
2022,214,211,207,205,24,357,Contra Costa,Acalanes Union High,Campolindo High,Moraga
2023,245,232,227,218,136,357,Los Angeles,Pomona Unified,Diamond Ranch High,Pomona
2022,106,85,99,78,40,357,Orange,Anaheim Union High,Gilbert High (Continuation),Anaheim
2022,192,181,180,172,104,357,San Diego,Grossmont Union High,Mount Miguel High,Spring Valley
2022,213,189,197,179,90,357,San Mateo,Jefferson Union High,Jefferson High,Daly City
2022,142,136,136,133,10,357,Santa Clara,Los Gatos-Saratoga Union High,Saratoga High,Saratoga
2022,208,193,196,187,46,357,Sonoma,Petaluma Joint Union High,Petaluma High,Petaluma
2023,325,286,302,268,210,356,Fresno,Fresno Unified,McLane High,Fresno
2022,283,267,272,260,160,356,Fresno,Kerman Unified,Kerman High,Kerman
2022,221,202,201,190,81,356,Sacramento,San Juan Unified,Del Campo High,Fair Oaks
2023,203,184,179,165,95,356,San Joaquin,Manteca Unified,East Union High,Manteca
2022,186,178,177,172,59,356,Santa Clara,Morgan Hill Unified,Ann Sobrato High,Morgan Hill
2023,154,142,139,132,91,355,Los Angeles,Antelope Valley Union High,Littlerock High,Littlerock
2023,362,326,192,181,140,355,Los Angeles,Los Angeles Unified,Santee Education Complex,Los Angeles
2022,179,177,165,164,24,355,Los Angeles,Palos Verdes Peninsula Unified,Palos Verdes High,Palos Verdes Est.
2023,212,196,200,187,93,355,San Joaquin,Manteca Unified,Lathrop High,Lathrop
2023,252,235,236,225,64,355,Solano,Benicia Unified,Benicia High,Benicia
2023,111,93,88,76,54,355,Solano,Fairfield-Suisun Unified,Fairfield High,Fairfield
2023,61,50,49,43,5,354,Los Angeles,Downey Unified,Columbus (Christopher) High,Downey
2022,202,185,196,182,98,354,San Bernardino,Chino Valley Unified,Don Antonio Lugo High,Chino
2022,188,169,171,155,108,354,San Bernardino,San Bernardino City Unified,San Gorgonio High,San Bernardino
2023,194,183,162,158,60,354,Stanislaus,Oakdale Joint Unified,Oakdale High,Oakdale
2023,227,210,212,200,66,353,Sonoma,Windsor Unified,Windsor High,Windsor
2022,12,11,12,11,7,352,Los Angeles,West Covina Unified,California Virtual Academy @ Los Angeles,Simi Valley
2023,256,225,253,224,180,352,Madera,Madera Unified,Matilda Torres High,Madera
2022,249,214,244,211,136,352,Riverside,Palm Springs Unified,Rancho Mirage High,Rancho Mirage
2022,263,241,260,241,137,351,Los Angeles,Los Angeles Unified,Carson Senior High,Carson
2022,4,4,4,4,2,351,San Bernardino,San Bernardino County Office of Education,Excelsior Charter,Victorville
2022,222,209,215,205,57,351,Santa Clara,San Jose Unified,Pioneer High,San Jose
2022,95,83,89,78,35,350,Alameda,Hayward Unified,Tennyson High,Hayward
2023,235,218,218,206,98,350,Los Angeles,Charter Oak Unified,Charter Oak High,Covina
2023,268,245,245,230,159,350,Merced,Los Banos Unified,Pacheco High,Los Banos
2022,140,130,134,127,41,349,San Diego,Ramona City Unified,Ramona High,Ramona
2023,192,171,175,160,85,349,Solano,Vallejo City Unified,Jesse M. Bethel High,Vallejo
2023,281,261,258,240,80,348,Marin,Novato Unified,Novato High,Novato
2022,195,173,186,167,81,348,Merced,Los Banos Unified,Los Banos High,Los Banos
2022,150,140,136,128,62,348,Solano,Vallejo City Unified,Jesse M. Bethel High,Vallejo
2022,243,223,233,219,95,346,Los Angeles,Glendale Unified,Herbert Hoover High,Glendale
2022,224,217,216,212,58,346,Orange,Placentia-Yorba Linda Unified,Esperanza High,Anaheim
2023,107,81,92,74,16,346,Riverside,Lake Elsinore Unified,Ortega High,Lake Elsinore
2023,218,186,206,178,104,346,Tulare,Visalia Unified,Mt. Whitney High,Visalia
2022,232,212,220,202,123,345,Imperial,Central Union High,Central Union High,El Centro
2022,156,130,151,127,89,345,Orange,Newport-Mesa Unified,Estancia High,Costa Mesa
2023,231,192,204,174,120,344,Contra Costa,West Contra Costa Unified,Richmond High,Richmond
2023,295,280,275,266,155,344,Los Angeles,Los Angeles Unified,Chatsworth Charter High,Chatsworth
2023,329,309,309,292,190,344,Los Angeles,Los Angeles Unified,Woodrow Wilson Senior High,Los Angeles
2022,301,256,288,247,164,344,Los Angeles,Lynwood Unified,Marco Antonio Firebaugh High,Lynwood
2022,195,182,191,179,98,343,Mendocino,Ukiah Unified,Ukiah High,Ukiah
2023,240,222,227,209,123,343,Monterey,Monterey Peninsula Unified,Monterey High,Monterey
2022,233,208,225,202,108,343,Riverside,Alvord Unified,La Sierra High,Riverside
2022,213,210,208,207,38,342,Los Angeles,La Canada Unified,La Canada High,La Canada
2023,195,176,174,161,63,342,Placer,Placer Union High,Placer High,Auburn
2023,152,133,130,117,94,342,San Diego,Sweetwater Union High,Castle Park Senior High,Chula Vista
2023,268,235,246,217,142,342,San Diego,Sweetwater Union High,Mar Vista Senior High,Imperial Beach
2023,21,17,4,4,2,342,San Joaquin,San Joaquin County Office of Education,San Joaquin County Community,Stockton
2023,231,212,224,207,54,342,Santa Clara,Campbell Union High,Prospect High,Saratoga
2022,184,172,179,169,64,342,Sonoma,West Sonoma County Union High,Analy High,Sebastopol
2022,231,207,220,200,153,341,Los Angeles,El Monte Union High,Mountain View High,El Monte
2023,321,265,295,246,146,341,Los Angeles,Los Angeles Unified,Carson Senior High,Carson
2022,205,201,197,196,35,341,Marin,Tamalpais Union High,Archie Williams High,San Anselmo
2022,199,182,196,180,70,341,Orange,Saddleback Valley Unified,Laguna Hills High,Laguna Hills
2022,164,156,159,152,53,341,Sonoma,Santa Rosa High,Piner High,Santa Rosa
2023,317,287,295,271,203,340,Los Angeles,Los Angeles Unified,King/Drew Medical Magnet High,Los Angeles
2023,244,241,232,231,72,340,Los Angeles,South Pasadena Unified,South Pasadena Senior High,South Pasadena
2023,226,179,207,164,102,340,San Bernardino,Barstow Unified,Barstow High,Barstow
2023,211,174,174,145,105,340,San Diego,San Diego Unified,Lincoln High,San Diego
2022,133,117,126,115,73,340,Santa Clara,East Side Union High,Mt. Pleasant High,San Jose
2023,237,205,208,182,132,339,Fresno,Selma Unified,Selma High,Selma
2023,223,201,199,180,108,339,Los Angeles,ABC Unified,Artesia High,Lakewood
2022,125,102,112,95,51,339,Solano,Vallejo City Unified,Vallejo High,Vallejo
2023,214,193,196,178,131,338,Kern,Delano Joint Union High,Robert F. Kennedy High,Delano
2023,200,185,189,176,110,338,Kings,Hanford Joint Union High,Hanford High,Hanford
2023,177,147,158,132,101,337,Alameda,San Lorenzo Unified,San Lorenzo High,San Lorenzo
2023,200,195,187,186,27,337,Contra Costa,Acalanes Union High,Acalanes High,Lafayette
2022,210,192,198,181,114,336,Los Angeles,ABC Unified,Artesia High,Lakewood
2023,45,37,45,37,25,336,Los Angeles,Acton-Agua Dulce Unified,Assurance Learning Academy,Los Angeles
2023,269,244,252,232,174,336,Riverside,Jurupa Unified,Rubidoux High,Riverside
2022,217,188,209,183,111,336,Santa Clara,East Side Union High,William C. Overfelt High,San Jose
2023,228,205,206,190,152,335,Kern,Delano Joint Union High,Delano High,Delano
2022,229,202,215,191,123,334,Kern,Delano Joint Union High,Cesar E. Chavez High,Delano
2023,315,290,295,277,200,334,Los Angeles,Los Angeles Unified,San Fernando Senior High,San Fernando
2023,229,220,215,208,58,334,Orange,Placentia-Yorba Linda Unified,Esperanza High,Anaheim
2023,256,220,240,208,121,333,Sacramento,Twin Rivers Unified,Rio Linda High,Rio Linda
2022,217,182,189,161,117,333,San Diego,San Diego Unified,Lincoln High,San Diego
2022,194,183,183,177,55,333,San Diego,San Diego Unified,La Jolla High,La Jolla
2022,126,115,122,112,48,333,Santa Clara,Gilroy Unified,Gilroy High,Gilroy
2023,289,248,270,234,153,333,Tulare,Tulare Joint Union High,Mission Oak High,Tulare
2022,156,153,151,150,24,332,Contra Costa,Acalanes Union High,Acalanes High,Lafayette
2022,154,134,146,130,82,332,Kings,Hanford Joint Union High,Hanford High,Hanford
2023,315,284,301,275,190,332,Los Angeles,Los Angeles Unified,Theodore Roosevelt Senior High,Los Angeles
2022,146,119,131,106,63,332,San Bernardino,Barstow Unified,Barstow High,Barstow
2023,244,235,235,226,141,332,San Francisco,San Francisco Unified,Balboa High,San Francisco
2023,309,262,281,245,170,331,Los Angeles,Lynwood Unified,Marco Antonio Firebaugh High,Lynwood
2022,185,177,181,175,62,331,Placer,Placer Union High,Placer High,Auburn
2022,181,174,170,167,39,331,Sonoma,Santa Rosa High,Maria Carrillo High,Santa Rosa
2023,283,255,257,237,149,330,Los Angeles,Covina-Valley Unified,Northview High,Covina
2022,191,176,181,169,69,330,Marin,Novato Unified,Novato High,Novato
2023,284,262,269,247,164,330,Riverside,Alvord Unified,La Sierra High,Riverside
2023,212,195,197,185,67,330,San Joaquin,Tracy Joint Unified,John C. Kimball High,Tracy
2023,237,217,218,201,166,329,Alameda,Oakland Unified,Oakland High,Oakland
2022,17,13,14,10,2,329,Los Angeles,Whittier Union High,Frontier High (Continuation),Whittier
2023,46,40,34,31,6,329,San Bernardino,San Bernardino City Unified,Sierra High,San Bernardino
2022,202,179,193,174,108,329,Tulare,Tulare Joint Union High,Tulare Union High,Tulare
2022,280,243,273,238,174,328,Los Angeles,Los Angeles Unified,Santee Education Complex,Los Angeles
2023,165,142,165,142,118,328,Los Angeles,Los Angeles Unified,Alain Leroy Locke College Preparatory Academy,Los Angeles
2023,149,142,138,137,7,328,Santa Clara,Los Gatos-Saratoga Union High,Saratoga High,Saratoga
2022,173,164,162,155,65,327,Alameda,Fremont Unified,John F. Kennedy High,Fremont
2023,241,218,216,197,111,326,Contra Costa,West Contra Costa Unified,De Anza High,Richmond
2022,226,214,214,205,142,326,Los Angeles,Covina-Valley Unified,Northview High,Covina
2022,258,245,251,241,170,326,Los Angeles,Los Angeles Unified,University High School Charter,Los Angeles
2023,190,171,176,161,68,326,Orange,Saddleback Valley Unified,Laguna Hills High,Laguna Hills
2022,222,202,214,199,131,326,Tulare,Tulare Joint Union High,Mission Oak High,Tulare
2022,57,44,43,35,2,325,Riverside,Lake Elsinore Unified,Ortega High,Lake Elsinore
2023,268,239,243,223,124,324,Los Angeles,Glendale Unified,Herbert Hoover High,Glendale
2023,218,193,205,183,110,324,Monterey,South Monterey County Joint Union High,Greenfield High,Greenfield
2022,204,172,189,163,102,324,San Diego,Sweetwater Union High,Mar Vista Senior High,Imperial Beach
2022,57,57,55,55,,323,Kern,Sierra Sands Unified,Burroughs High,Ridgecrest
2022,296,268,289,266,168,322,Los Angeles,Los Angeles Unified,Gardena Senior High,Gardena
2022,304,279,292,274,163,322,Los Angeles,Los Angeles Unified,Hollywood Senior High,Los Angeles
2022,193,167,178,154,103,322,Santa Cruz,Pajaro Valley Unified,Pajaro Valley High,Watsonville
2022,136,116,131,113,68,321,Alameda,San Lorenzo Unified,San Lorenzo High,San Lorenzo
2023,220,204,205,193,111,321,Marin,San Rafael City High,San Rafael High,San Rafael
2023,216,175,200,165,127,321,Orange,Anaheim Union High,Magnolia High,Anaheim
2022,138,129,3,3,2,321,Orange,Huntington Beach Union High,Ocean View High,Huntington Beach
2022,192,175,173,160,89,321,San Mateo,Jefferson Union High,Westmoor High,Daly City
2022,112,98,89,78,56,320,Fresno,Fresno Unified,J. E. Young Academic Center,Fresno
2023,238,216,214,197,118,320,Kern,Delano Joint Union High,Cesar E. Chavez High,Delano
2023,118,94,104,83,22,320,San Bernardino,San Bernardino City Unified,San Andreas High,Highland
2022,130,125,120,117,46,319,Los Angeles,Beverly Hills Unified,Beverly Hills High,Beverly Hills
2023,191,187,178,176,17,318,Contra Costa,Acalanes Union High,Campolindo High,Moraga
2022,208,195,192,184,108,318,Contra Costa,West Contra Costa Unified,De Anza High,Richmond
2022,232,211,218,202,113,318,Los Angeles,Bellflower Unified,Bellflower High,Bellflower
2022,185,165,174,158,69,318,Sacramento,Center Joint Unified,Center High,Antelope
2022,197,185,192,183,109,317,Los Angeles,Covina-Valley Unified,Covina High,Covina
2023,307,290,298,284,222,317,Los Angeles,Los Angeles Unified,Panorama High,Panorama City
2023,228,205,211,194,153,316,Los Angeles,El Monte Union High,Mountain View High,El Monte
2022,220,198,207,192,106,316,Monterey,Monterey Peninsula Unified,Monterey High,Monterey
2023,287,283,280,277,46,316,Ventura,Oak Park Unified,Oak Park High,Oak Park
2023,108,87,95,79,26,315,Riverside,Palm Springs Unified,Mt. San Jacinto High,Cathedral City
2023,217,210,211,206,62,315,San Diego,Carlsbad Unified,Sage Creek High,Carlsbad
2023,235,213,218,201,129,315,San Mateo,Jefferson Union High,Jefferson High,Daly City
2023,191,176,174,164,98,315,San Mateo,Jefferson Union High,Westmoor High,Daly City
2022,168,165,162,160,20,314,Contra Costa,Acalanes Union High,Miramonte High,Orinda
2023,237,225,171,164,87,314,Imperial,Imperial Unified,Imperial High,Imperial
2022,132,122,122,115,90,314,Los Angeles,Antelope Valley Union High,Antelope Valley High,Lancaster
2023,225,202,200,186,128,314,Los Angeles,Baldwin Park Unified,Baldwin Park High,Baldwin Park
2023,40,34,30,25,10,314,Los Angeles,Whittier Union High,Frontier High (Continuation),Whittier
2022,238,223,223,209,113,314,Marin,San Rafael City High,San Rafael High,San Rafael
2023,102,89,81,76,22,313,Kern,Sierra Sands Unified,Burroughs High,Ridgecrest
2022,112,88,112,88,67,313,Los Angeles,Los Angeles Unified,Alain Leroy Locke College Preparatory Academy,Los Angeles
2022,211,194,206,189,103,313,Sacramento,Twin Rivers Unified,Rio Linda High,Rio Linda
2022,228,217,224,213,104,313,Tehama,Red Bluff Joint Union High,Red Bluff High,Red Bluff
2023,194,180,169,167,62,312,Nevada,Nevada Joint Union High,Nevada Union High,Grass Valley
2022,37,33,29,26,4,312,San Bernardino,San Bernardino City Unified,Sierra High,San Bernardino
2022,209,194,202,190,114,312,San Francisco,San Francisco Unified,Burton (Phillip and Sala) Academic High,San Francisco
2022,133,117,129,114,70,311,Contra Costa,Mt. Diablo Unified,Mt. Diablo High,Concord
2022,165,142,155,135,82,311,Kern,Delano Joint Union High,Robert F. Kennedy High,Delano
2023,267,238,247,225,166,311,Riverside,Palm Springs Unified,Cathedral City High,Cathedral City
2022,191,182,185,178,66,311,San Mateo,San Mateo Union High,Capuchino High,San Bruno
2022,160,134,150,128,97,310,Kern,Delano Joint Union High,Delano High,Delano
2023,180,164,156,147,91,308,Kings,Hanford Joint Union High,Hanford West High,Hanford
2023,158,150,154,149,50,308,Los Angeles,William S. Hart Union High,Castaic High,Castaic
2023,163,162,163,162,43,308,San Diego,Escondido Union High,Classical Academy High,Escondido
2022,222,210,219,208,131,308,San Francisco,San Francisco Unified,Balboa High,San Francisco
2023,239,231,227,225,39,307,Los Angeles,La Canada Unified,La Canada High,La Canada
2023,198,194,184,182,34,307,Marin,Tamalpais Union High,Archie Williams High,San Anselmo
2023,289,275,268,262,176,307,Monterey,North Monterey County Unified,North Monterey County High,Castroville
2023,191,180,182,176,108,307,Orange,Huntington Beach Union High,Ocean View High,Huntington Beach
2023,215,188,205,182,120,306,Santa Clara,East Side Union High,William C. Overfelt High,San Jose
2023,205,180,195,172,96,305,Santa Clara,Campbell Union High,Del Mar High,San Jose
2023,134,115,122,106,73,305,Solano,Vallejo City Unified,Vallejo High,Vallejo
2022,196,191,188,184,50,304,Alameda,Albany City Unified,Albany High,Albany
2023,178,165,165,154,93,304,Humboldt,Eureka City Schools,Eureka Senior High,Eureka
2022,208,205,202,200,60,304,Los Angeles,El Segundo Unified,El Segundo High,El Segundo
2022,164,152,151,145,58,304,Nevada,Nevada Joint Union High,Nevada Union High,Grass Valley
2022,182,157,171,149,90,304,Sacramento,Sacramento City Unified,Rosemont High,Sacramento
2022,141,124,117,108,54,304,San Mateo,South San Francisco Unified,South San Francisco High,So San Francisco
2023,221,215,209,206,87,303,Marin,San Rafael City High,Terra Linda High,San Rafael
2022,142,131,129,122,40,302,Los Angeles,Bonita Unified,San Dimas High,San Dimas
2022,200,193,191,187,106,302,Los Angeles,Charter Oak Unified,Charter Oak High,Covina
2022,171,164,157,150,58,302,San Mateo,South San Francisco Unified,El Camino High,So San Francisco
2022,206,197,201,194,63,302,Santa Cruz,Pajaro Valley Unified,Aptos High,Aptos
2023,258,231,241,222,125,301,San Joaquin,Manteca Unified,Weston Ranch High,Stockton
2022,149,134,139,130,66,301,San Joaquin,Manteca Unified,Sierra High,Manteca
2022,152,140,146,136,41,300,Contra Costa,Martinez Unified,Alhambra Senior High,Martinez
2023,289,254,272,244,147,300,Los Angeles,Los Angeles Unified,University High School Charter,Los Angeles
2023,120,96,,,,300,Riverside,Corona-Norco Unified,Lee V. Pollard High,Corona
2023,247,231,231,219,73,300,Santa Cruz,Pajaro Valley Unified,Aptos High,Aptos
2023,204,191,195,185,62,300,Shasta,Shasta Union High,Foothill High,Palo Cedro
2023,200,194,185,181,44,299,Los Angeles,El Segundo Unified,El Segundo High,El Segundo
2023,276,248,260,236,151,299,Los Angeles,Los Angeles Unified,Canoga Park Senior High,Canoga Park
2022,238,221,230,215,145,299,Los Angeles,Los Angeles Unified,Woodrow Wilson Senior High,Los Angeles
2022,215,199,192,183,91,298,Imperial,Imperial Unified,Imperial High,Imperial
2023,134,125,123,117,44,298,Los Angeles,Beverly Hills Unified,Beverly Hills High,Beverly Hills
2023,196,181,186,174,73,298,San Mateo,San Mateo Union High,Capuchino High,San Bruno
2023,193,177,178,167,65,298,San Mateo,South San Francisco Unified,El Camino High,So San Francisco
2022,227,194,223,192,105,297,Merced,Merced Union High,Livingston High,Livingston
2023,236,226,222,212,151,297,Riverside,Palm Springs Unified,Rancho Mirage High,Rancho Mirage
2023,196,174,174,158,91,297,Sacramento,Center Joint Unified,Center High,Antelope
2023,153,137,133,121,79,297,Sacramento,Natomas Unified,Natomas High,Sacramento
2023,174,145,159,134,77,297,Santa Clara,East Side Union High,Mt. Pleasant High,San Jose
2022,193,183,187,178,45,297,Shasta,Shasta Union High,Foothill High,Palo Cedro
2023,183,176,168,163,57,296,San Diego,San Diego Unified,La Jolla High,La Jolla
2023,200,179,181,164,138,295,Fresno,Washington Unified,Washington High,Fresno
2023,254,241,238,225,152,295,Los Angeles,Los Angeles Unified,Reseda Charter High,Reseda
2023,132,104,132,104,56,295,Orange,Anaheim Union High,Polaris High,Anaheim
2022,67,56,56,51,5,295,Riverside,Corona-Norco Unified,Lee V. Pollard High,Corona
2022,157,139,148,133,63,295,San Diego,San Diego Unified,Canyon Hills High,San Diego
2022,171,156,165,150,86,295,Yolo,Woodland Joint Unified,Woodland Senior High,Woodland
2023,171,154,156,141,66,294,Contra Costa,Mt. Diablo Unified,Concord High,Concord
2022,157,133,153,132,89,294,San Bernardino,San Bernardino City Unified,San Bernardino High,San Bernardino
2022,151,143,142,137,73,294,San Joaquin,Manteca Unified,Lathrop High,Lathrop
2022,179,169,2,2,,294,Santa Cruz,Santa Cruz City High,Santa Cruz High,Santa Cruz
2022,44,31,34,24,7,293,San Bernardino,San Bernardino City Unified,San Andreas High,Highland
2023,206,173,180,156,113,293,San Bernardino,San Bernardino City Unified,San Bernardino High,San Bernardino
2022,161,160,161,160,50,293,San Diego,Escondido Union High,Classical Academy High,Escondido
2022,158,137,145,129,52,293,Santa Clara,Campbell Union High,Del Mar High,San Jose
2023,130,105,116,95,23,292,Riverside,Hemet Unified,Alessandro High,Hemet
2023,256,246,248,240,51,292,San Mateo,San Mateo Union High,Mills High,Millbrae
2022,128,114,112,99,41,292,Sonoma,Santa Rosa High,Elsie Allen High,Santa Rosa
2022,131,125,130,124,45,291,El Dorado,El Dorado Union High,Union Mine High,El Dorado
2022,223,214,219,211,95,291,Marin,San Rafael City High,Terra Linda High,San Rafael
2023,215,201,207,194,105,291,Merced,Merced Union High,Livingston High,Livingston
2022,88,77,85,76,38,291,San Bernardino,Morongo Unified,Yucca Valley High,Yucca Valley
2022,205,196,203,195,44,291,San Mateo,San Mateo Union High,Mills High,Millbrae
2022,192,184,188,182,52,289,Shasta,Shasta Union High,Shasta High,Redding
2022,230,215,227,213,152,288,Los Angeles,Los Angeles Unified,Sylmar Charter High,Sylmar
2023,211,190,195,178,79,287,Contra Costa,West Contra Costa Unified,Pinole Valley High,Pinole
2023,246,237,237,231,143,287,Los Angeles,Bellflower Unified,Bellflower High,Bellflower
2023,81,70,64,59,21,287,Los Angeles,William S. Hart Union High,Bowman (Jereann) High (Continuation),Santa Clarita
2022,116,108,110,105,56,287,Sacramento,Galt Joint Union High,Galt High,Galt
2022,231,211,221,207,105,287,San Diego,San Diego Unified,San Diego International Studies,San Diego
2022,166,156,160,152,107,287,San Francisco,San Francisco Unified,Mission High,San Francisco
2023,207,184,195,177,73,287,San Mateo,South San Francisco Unified,South San Francisco High,So San Francisco
2022,163,139,156,133,92,286,Monterey,South Monterey County Joint Union High,Greenfield High,Greenfield
2023,194,178,184,170,64,286,San Diego,San Diego Unified,Mission Bay High,San Diego
2022,187,166,177,160,78,285,Contra Costa,Mt. Diablo Unified,Concord High,Concord
2023,188,180,177,173,83,285,Los Angeles,Bonita Unified,San Dimas High,San Dimas
2022,150,127,142,122,95,285,Los Angeles,Los Angeles Unified,Manual Arts Senior High,Los Angeles
2023,230,191,206,175,95,285,Santa Cruz,Pajaro Valley Unified,Pajaro Valley High,Watsonville
2022,204,189,199,187,119,284,Los Angeles,Los Angeles Unified,Ramon C. Cortines School of Visual and Performing Arts,Los Angeles
2022,98,90,91,84,42,284,Riverside,Banning Unified,Banning High,Banning
2023,166,148,154,138,60,284,Sonoma,Santa Rosa High,Piner High,Santa Rosa
2023,191,174,168,157,88,284,Yolo,Woodland Joint Unified,Woodland Senior High,Woodland
2023,181,168,168,159,64,283,El Dorado,El Dorado Union High,El Dorado High,Placerville
2022,212,183,202,175,113,283,Los Angeles,Los Angeles Unified,Canoga Park Senior High,Canoga Park
2022,217,198,208,191,112,283,Los Angeles,Los Angeles Unified,Verdugo Hills Senior High,Tujunga
2022,172,154,159,143,91,283,Orange,Newport-Mesa Unified,Costa Mesa High,Costa Mesa
2022,260,238,242,225,146,282,Los Angeles,Los Angeles Unified,Arleta High,Arleta
2022,137,118,132,113,75,282,Los Angeles,Norwalk-La Mirada Unified,John H. Glenn High,Norwalk
2022,159,144,149,142,69,282,Sacramento,San Juan Unified,El Camino Fundamental High,Sacramento
2022,183,162,170,154,103,281,Tulare,Porterville Unified,Granite Hills High,Porterville
2023,134,113,120,103,62,280,Butte,Oroville Union High,Las Plumas High,Oroville
2022,191,163,189,163,88,280,Monterey,Salinas Union High,Rancho San Juan High,Salinas
2022,226,191,221,187,106,279,Los Angeles,Los Angeles Unified,Los Angeles Senior High,Los Angeles
2022,151,140,149,139,58,279,San Diego,Valley Center-Pauma Unified,Valley Center High,Valley Center
2023,190,186,176,173,56,278,Alameda,Albany City Unified,Albany High,Albany
2023,174,172,165,164,17,278,Contra Costa,Acalanes Union High,Miramonte High,Orinda
2023,248,237,237,229,129,278,Los Angeles,Covina-Valley Unified,Covina High,Covina
2022,197,190,195,189,141,278,Los Angeles,El Monte Union High,South El Monte High,South El Monte
2023,229,217,217,209,115,278,Los Angeles,Glendale Unified,Anderson W. Clark Magnet High,La Crescenta
2023,201,178,185,165,97,278,Orange,Newport-Mesa Unified,Costa Mesa High,Costa Mesa
2022,83,80,78,76,40,277,Butte,Oroville Union High,Las Plumas High,Oroville
2023,281,254,264,244,161,277,Fresno,Fresno Unified,Erma Duncan Polytechnical High,Fresno
2022,260,244,255,243,184,277,Los Angeles,Los Angeles Unified,Benjamin Franklin Senior High,Los Angeles
2023,223,209,202,191,111,277,San Francisco,San Francisco Unified,Burton (Phillip and Sala) Academic High,San Francisco
2023,195,182,183,175,129,277,San Francisco,San Francisco Unified,Mission High,San Francisco
2022,194,173,190,171,95,276,Los Angeles,Los Angeles Unified,Reseda Charter High,Reseda
2023,248,224,229,211,128,276,Los Angeles,Los Angeles Unified,Verdugo Hills Senior High,Tujunga
2022,170,159,166,158,50,275,Marin,Novato Unified,San Marin High,Novato
2022,224,211,34,27,,275,Monterey,North Monterey County Unified,North Monterey County High,Castroville
2022,134,126,128,122,43,275,Santa Cruz,Santa Cruz City High,Soquel High,Soquel
2023,235,215,213,203,151,274,Los Angeles,Whittier Union High,Pioneer High,Whittier
2023,182,169,166,156,80,274,Monterey,South Monterey County Joint Union High,King City High,King City
2023,205,196,198,193,42,274,Orange,Laguna Beach Unified,Laguna Beach High,Laguna Beach
2022,154,141,149,139,1,274,San Luis Obispo,Atascadero Unified,Atascadero High,Atascadero
2023,190,179,178,171,56,274,Sonoma,Petaluma Joint Union High,Petaluma High,Petaluma
2022,146,137,134,127,65,273,Contra Costa,West Contra Costa Unified,Pinole Valley High,Pinole
2022,109,87,88,67,47,273,Orange,Anaheim Union High,Polaris High,Anaheim
2022,145,138,138,134,37,273,San Diego,Coronado Unified,Coronado High,Coronado
2023,192,174,175,161,64,273,San Diego,San Diego Unified,Canyon Hills High,San Diego
2023,268,247,255,236,185,272,Los Angeles,Los Angeles Unified,Benjamin Franklin Senior High,Los Angeles
2023,167,162,158,155,39,272,San Diego,Coronado Unified,Coronado High,Coronado
2023,226,205,202,185,121,271,Los Angeles,Los Angeles Unified,Ramon C. Cortines School of Visual and Performing Arts,Los Angeles
2022,258,222,248,217,98,271,Los Angeles,Los Angeles Unified,Huntington Park Senior High,Huntington Park
