Year,FAFSA_CA_Dream_Act_Submitted,FAFSA_CA_Dream_Act_Completed,Cal_Grant_Submitted,Cal_Grant_Completed,Cal_Grant_Awarded,Enrollment,County,School_District,High_School,City
2023,463,397,423,372,228,754,Ventura,Oxnard Union High,Pacifica High,Oxnard
2022,513,491,500,487,153,752,Riverside,Temecula Valley Unified,Great Oak High,Temecula
2023,526,500,491,477,181,752,San Diego,Sweetwater Union High,Eastlake High,Chula Vista
2023,457,434,433,415,168,751,Los Angeles,Arcadia Unified,Arcadia High,Arcadia
2023,703,680,661,647,348,751,Los Angeles,Downey Unified,Warren (Earl) High,Downey
2023,646,599,616,577,269,751,Orange,Anaheim Union High,Cypress High,Cypress
2023,531,507,509,490,122,747,Orange,Capistrano Unified,Aliso Niguel High,Aliso Viejo
2023,635,582,588,540,248,747,Riverside,Corona-Norco Unified,Centennial High,Corona
2023,465,441,437,423,118,744,Orange,Capistrano Unified,San Clemente High,San Clemente
2023,202,189,1,1,,744,San Bernardino,Upland Unified,Upland High,Upland
2022,446,433,437,428,102,743,Los Angeles,William S. Hart Union High,Valencia High,Valencia
2022,686,632,667,623,387,742,Fresno,Central Unified,Central East High,Fresno
2022,544,521,527,511,196,742,Los Angeles,Arcadia Unified,Arcadia High,Arcadia
2022,493,477,484,475,115,742,Los Angeles,Redondo Beach Unified,Redondo Union High,Redondo Beach
2023,529,510,501,492,130,741,Orange,Los Alamitos Unified,Los Alamitos High,Los Alamitos
2023,601,570,570,550,200,740,Los Angeles,Long Beach Unified,Millikan High,Long Beach
2022,514,494,505,491,184,740,Riverside,Temecula Valley Unified,Chaparral High,Temecula
2022,439,426,428,419,53,739,Alameda,Dublin Unified,Dublin High,Dublin
2023,284,266,257,245,98,738,Los Angeles,Antelope Valley Union High,Quartz Hill High,Quartz Hill
2023,409,383,378,363,121,737,Santa Clara,Milpitas Unified,Milpitas High,Milpitas
2022,471,458,455,445,124,734,Orange,Tustin Unified,Arnold O. Beckman High,Irvine
2022,388,377,4,4,1,729,Orange,Huntington Beach Union High,Huntington Beach High,Huntington Beach
2023,478,451,456,436,124,728,Orange,Capistrano Unified,San Juan Hills High,San Juan Capo
2022,540,511,527,503,183,728,San Bernardino,Chaffey Joint Union High,Los Osos High,Rancho Cucamonga
2023,467,444,438,424,183,724,Riverside,Temecula Valley Unified,Temecula Valley High,Temecula
2022,542,493,520,476,220,723,Los Angeles,Long Beach Unified,Lakewood High,Lakewood
2022,608,597,598,590,238,723,San Francisco,San Francisco Unified,Lowell High,San Francisco
2023,464,408,423,378,234,721,Kern,Kern High,Bakersfield High,Bakersfield
2023,627,603,597,582,390,721,Santa Barbara,Santa Maria Joint Union High,Santa Maria High,Santa Maria
2023,348,318,318,298,99,719,Contra Costa,Liberty Union High,Liberty High,Brentwood
2022,516,501,506,494,201,719,Los Angeles,Santa Monica-Malibu Unified,Santa Monica High,Santa Monica
2023,508,494,488,479,59,718,Contra Costa,San Ramon Valley Unified,California High,San Ramon
2023,396,362,349,321,214,718,Los Angeles,Antelope Valley Union High,William J. (Pete) Knight High,Palmdale
2022,432,413,414,402,95,715,Orange,Capistrano Unified,San Juan Hills High,San Juan Capo
2023,537,518,519,505,123,714,Santa Clara,East Side Union High,Evergreen Valley High,San Jose
2022,424,383,412,376,175,711,San Joaquin,Lincoln Unified,Lincoln High,Stockton
2023,394,363,359,336,172,710,San Joaquin,Lincoln Unified,Lincoln High,Stockton
2022,575,540,553,523,317,708,Santa Barbara,Santa Maria Joint Union High,Pioneer Valley High,Santa Maria
2022,422,402,413,397,102,707,Orange,Capistrano Unified,Aliso Niguel High,Aliso Viejo
2022,297,267,277,258,79,706,Contra Costa,Liberty Union High,Liberty High,Brentwood
2022,618,546,563,511,211,705,Riverside,Perris Union High,Paloma Valley High,Menifee
2022,409,384,392,374,211,704,Alameda,San Leandro Unified,San Leandro High,San Leandro
2023,590,565,562,546,216,704,Riverside,Temecula Valley Unified,Chaparral High,Temecula
2023,511,463,470,428,292,704,San Bernardino,Chaffey Joint Union High,Montclair High,Montclair
2023,646,585,616,564,333,702,Fresno,Central Unified,Central East High,Fresno
2023,465,409,422,375,257,701,Kern,Kern High,Golden Valley High,Bakersfield
2022,549,522,526,502,210,701,Orange,Anaheim Union High,Cypress High,Cypress
2022,518,502,502,494,59,700,Contra Costa,San Ramon Valley Unified,California High,San Ramon
2023,542,492,500,468,178,700,Riverside,Riverside Unified,Martin Luther King Jr. High,Riverside
2023,508,479,483,463,117,699,Orange,Tustin Unified,Arnold O. Beckman High,Irvine
2022,320,289,299,278,185,696,Los Angeles,Antelope Valley Union High,William J. (Pete) Knight High,Palmdale
2022,156,142,156,142,61,696,Los Angeles,Baldwin Park Unified,Opportunities for Learning - Baldwin Park,Pasadena
2023,579,519,521,476,335,695,Imperial,Calexico Unified,Calexico High,Calexico
2022,331,320,331,320,114,695,Los Angeles,Los Angeles Unified,Palisades Charter High,Pacific Palisades
2022,525,466,525,466,347,694,Los Angeles,Los Angeles Unified,Birmingham Community Charter High,Lake Balboa
2023,545,525,523,508,213,694,San Bernardino,Chaffey Joint Union High,Los Osos High,Rancho Cucamonga
2022,329,305,310,291,196,694,San Diego,Sweetwater Union High,San Ysidro High,San Diego
2022,382,362,370,357,103,692,Orange,Capistrano Unified,San Clemente High,San Clemente
2022,377,341,362,331,205,690,Kern,Kern High,Ridgeview High,Bakersfield
2022,420,391,411,390,165,690,Riverside,Temecula Valley Unified,Temecula Valley High,Temecula
2022,363,343,346,337,143,690,San Bernardino,Chino Valley Unified,Chino Hills High,Chino Hills
2022,339,325,328,322,102,689,Contra Costa,Liberty Union High,Heritage High,Brentwood
2023,485,444,439,410,266,689,Kern,Kern High,Ridgeview High,Bakersfield
2022,268,248,251,237,103,689,Los Angeles,Antelope Valley Union High,Quartz Hill High,Quartz Hill
2023,484,455,456,440,116,688,Orange,Huntington Beach Union High,Huntington Beach High,Huntington Beach
2022,447,418,430,414,146,688,San Diego,Sweetwater Union High,Eastlake High,Chula Vista
2023,595,585,574,569,237,688,San Francisco,San Francisco Unified,Lowell High,San Francisco
2023,592,515,591,514,388,686,Los Angeles,Los Angeles Unified,Birmingham Community Charter High,Lake Balboa
2022,417,403,401,392,141,685,Riverside,Riverside Unified,Martin Luther King Jr. High,Riverside
2023,517,485,486,469,208,685,San Bernardino,Chino Valley Unified,Ruben S. Ayala High,Chino
2022,348,316,339,309,204,683,Kern,Kern High,Golden Valley High,Bakersfield
2022,330,310,318,299,215,683,San Bernardino,Chaffey Joint Union High,Montclair High,Montclair
2022,395,375,380,372,45,682,Alameda,Pleasanton Unified,Amador Valley High,Pleasanton
2023,424,378,390,353,250,680,Ventura,Oxnard Union High,Channel Islands High,Oxnard
2022,595,535,578,524,325,679,Fresno,Fresno Unified,Sunnyside High,Fresno
2022,334,298,315,290,210,679,Kern,Kern High,Mira Monte High,Bakersfield
2022,381,327,360,313,160,678,Kern,Kern High,Bakersfield High,Bakersfield
2022,372,347,340,322,157,678,Santa Clara,East Side Union High,Independence High,San Jose
2022,426,408,413,400,92,677,Orange,Saddleback Valley Unified,Trabuco Hills High,Mission Viejo
2023,610,529,563,493,314,676,San Bernardino,Rialto Unified,Rialto High,Rialto
2022,447,433,424,416,63,676,San Diego,Poway Unified,Del Norte High,San Diego
2023,480,456,461,446,49,675,Alameda,Pleasanton Unified,Amador Valley High,Pleasanton
2022,610,569,601,564,224,673,Riverside,Perris Union High,Heritage High,Menifee
2023,634,605,595,571,374,670,Fresno,Fresno Unified,Sunnyside High,Fresno
2023,469,433,432,405,296,669,Kern,Kern High,Arvin High,Arvin
2022,308,278,284,262,161,668,Los Angeles,Antelope Valley Union High,Lancaster High,Lancaster
2023,550,504,511,472,303,667,Monterey,Salinas Union High,Alisal High,Salinas
2023,352,327,295,277,193,667,San Diego,Sweetwater Union High,San Ysidro High,San Diego
2022,449,419,432,415,132,666,Fresno,Clovis Unified,Buchanan High,Clovis
2023,496,477,464,451,198,666,Los Angeles,Santa Monica-Malibu Unified,Santa Monica High,Santa Monica
2022,404,371,387,361,208,666,San Bernardino,Fontana Unified,Summit High,Fontana
2023,543,505,512,477,267,665,Riverside,Moreno Valley Unified,Valley View High,Moreno Valley
2022,430,422,420,414,156,665,San Bernardino,Chino Valley Unified,Ruben S. Ayala High,Chino
2023,447,402,411,372,190,664,Los Angeles,Long Beach Unified,Lakewood High,Lakewood
2023,540,472,500,449,341,664,Orange,Huntington Beach Union High,Westminster High,Westminster
2023,181,177,181,177,89,663,Orange,Capistrano Unified,California Connections Academy Southern California,San Juan Capistra
2022,349,324,296,276,136,663,Riverside,Beaumont Unified,Beaumont Senior High,Beaumont
2022,472,430,439,409,195,663,Riverside,Corona-Norco Unified,Centennial High,Corona
2023,102,83,67,56,12,662,Los Angeles,Long Beach Unified,Educational Partnership High,Long Beach
2022,524,507,503,493,182,662,Sacramento,Elk Grove Unified,Franklin High,Elk Grove
2023,485,431,450,409,168,659,San Bernardino,Chino Valley Unified,Chino Hills High,Chino Hills
2023,561,531,493,474,216,659,San Diego,San Marcos Unified,Mission Hills High,San Marcos
2023,459,425,407,384,228,659,Ventura,Oxnard Union High,Oxnard High,Oxnard
2022,457,424,434,409,173,657,Fresno,Clovis Unified,Clovis East High,Clovis
2022,415,395,400,382,204,656,Sacramento,Elk Grove Unified,Sheldon High,Sacramento
2022,340,319,325,307,123,656,San Bernardino,Yucaipa-Calimesa Joint Unified,Yucaipa High,Yucaipa
2022,305,279,290,269,177,654,Los Angeles,Antelope Valley Union High,Eastside High,Lancaster
2023,433,363,385,329,228,654,Los Angeles,Antelope Valley Union High,Palmdale High,Palmdale
2022,323,305,6,6,2,654,Orange,Huntington Beach Union High,Edison High,Huntington Beach
2023,521,503,504,491,152,653,Alameda,Castro Valley Unified,Castro Valley High,Castro Valley
2023,560,539,539,524,236,652,Los Angeles,Walnut Valley Unified,Diamond Bar High,Diamond Bar
2022,405,374,394,369,237,650,Los Angeles,Montebello Unified,Schurr High,Montebello
2023,392,358,365,343,156,649,San Bernardino,Yucaipa-Calimesa Joint Unified,Yucaipa High,Yucaipa
2022,331,306,322,301,222,649,San Diego,Sweetwater Union High,Chula Vista Senior High,Chula Vista
2022,503,449,469,423,301,646,Orange,Anaheim Union High,Katella High,Anaheim
2023,458,423,424,398,159,646,San Diego,San Diego Unified,Henry High,San Diego
2023,425,401,388,371,207,646,Santa Clara,East Side Union High,Independence High,San Jose
2022,,,,,,646,Stanislaus,Stanislaus County Office of Education,Stanislaus Alternative Charter,Modesto
2023,385,372,366,358,81,644,San Diego,San Dieguito Union High,Torrey Pines High,Encinitas
2023,431,427,403,400,136,642,Los Angeles,Glendale Unified,Crescenta Valley High,La Crescenta
2022,426,369,401,353,187,642,Monterey,Salinas Union High,Salinas High,Salinas
2023,442,427,437,424,77,642,Orange,Capistrano Unified,Tesoro High,Rancho Sta Mrgta
2023,531,494,497,471,186,642,Sacramento,Elk Grove Unified,Franklin High,Elk Grove
2023,541,507,527,498,334,637,Los Angeles,Los Angeles Unified,North Hollywood Senior High,North Hollywood
2023,541,495,510,477,245,637,Los Angeles,Los Angeles Unified,San Pedro Senior High,San Pedro
2022,374,351,365,346,159,636,Santa Clara,East Side Union High,Silver Creek High,San Jose
2022,440,411,420,396,303,635,Orange,Huntington Beach Union High,Westminster High,Westminster
2022,375,353,358,343,242,634,Kern,Kern High,Arvin High,Arvin
2022,337,322,322,315,62,634,San Diego,San Dieguito Union High,Torrey Pines High,Encinitas
